주차장 이름,주소,주차 타입,주차 가능 차량 수,요금,요금 시간 기준,추가 요금,추가 요금 시간 기준,일일 최대 요금,현재 주차 차량 수,현재 주차 갱신 시간,평일 운영 시간,주말 운영 시간,공휴일 운영 시간,전화번호,연계 상태,위도,경도
원아주차장(민영),은평구 응암동 270-22,NP,5,2000,60,,,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,010-5285-7440,미연계,37.58379818,126.91988314
응암정보도서관,은평구 응암동 730-3,BS,4,,,,,,0,,1800 ~ 0800,1800 ~ 0800,1800 ~ 0800,02-308-2320,미연계,37.586019,126.91971
인정병원주차장(민영),은평구 응암동 603-54,NP,63,1000,30,500,15,0,0,,0800 ~ 2200,0800 ~ 2200,0800 ~ 2200,02-2187-1450,미연계,37.58592266,126.9160769
대림-1,응암로 172-1 ~ 응암로4길 25-1,T,4,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5872665,126.9168461
유니온빌딩 주차장,은평구 증산동 164-1 ,BS,5,,,,,,0,,0800 ~ 2200,0800 ~ 2200,0800 ~ 2200,02--,미연계,37.58575,126.911287
중앙하이츠 부설주차장,은평구 증산동 248-0 ,BS,5,0,0,0,0,0,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-372-8986,미연계,37.583188,126.908279
증산동주민센터,은평구 증산동 187-19,BS,6,,,,,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-351-5395,미연계,37.584353,126.907068
수색진흥아파트 주차장,은평구 수색동 416-1 ,BS,307,,,,,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02--,미연계,37.585334,126.900236
수색감리교회 주차장,은평구 수색동 417-3 ,BS,92,,,,,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-372-8979,미연계,37.5836647,126.8941056
안정운수주차장(민영),은평구 수색동 381-0,NP,29,,,,,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-307-5430,미연계,37.58343237,126.89263216
미디어케어라인(민영),마포구 상암동 251-1,NP,96,1500,30,500,10,12000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,070-7119-2717,미연계,37.58348,126.887878
우리금융 상암센터 주차장,마포구 상암동 1585-0,BS,544,3000,60,3000,60,12000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.583442,126.885966
성암로-1,상암동 1585 ~ 상암동 1585,T,15,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5839837,126.8860256
상암오밸리스크1차,마포구 상암동 1734-0,BS,465,1500,30,1500,30,20000,465,2024-10-02 16:01:26,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.587104,126.883357
한국교통안전공단 상암검사소,마포구 상암동 1733-0 ,BP,80,,,,,,0,,0800 ~ 1830,0800 ~ 1330,0000 ~ 0000,02-309-7033,미연계,37.586437,126.884056
강서1주차장[개화나들목 앞],강서구 방화동 18-1 ,BP,53,1000,30,200,10,10000,17,2024-10-02 16:00:45,0900 ~ 2100,0900 ~ 2100,0900 ~ 2100,,20분,37.58522128,126.81982059
한성 주차장(민영),중랑구 면목동 1094-1,NP,16,1500,30,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-2208-2088,미연계,37.57919005,127.0921962
명성주차장(민영),중랑구 면목동 497-7,NP,27,1500,30,500,10,15000,0,,0900 ~ 2300,0900 ~ 2300,0000 ~ 0000,02-433-0005,미연계,37.58238433,127.0882944
제일 2 주차장(민영),중랑구 면목동 632-6,NP,7,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5785271,127.08593733
동보주차장(민영),중랑구 면목동 167-48,NP,22,2000,30,2000,30,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-208-2556,미연계,37.58171343,127.08064601
면목유수지 공영주차장(시),중랑구 면목동 168-2,NW,567,100,5,100,5,0,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.579494,127.081451
홈플러스 면목점 주차장,중랑구 면목동 168-2 ,BS,441,100,5,100,5,0,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-437-2080,미연계,37.580505,127.080645
장안2동주민센터,동대문구 장안동 286-3 ,BP,5,,,,,,0,,1800 ~ 0800,0000 ~ 2400,0000 ~ 2400,02-2171-6345,미연계,37.578525,127.070591
제이앤지산 주차장,동대문구 장안동 94-27 ,BS,114,900,30,300,10,10000,98,2024-10-02 16:01:19,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.58151728,127.07070593
전농주차장(민영),동대문구 전농동 206-113,NP,22,3000,60,3000,60,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.579841,127.054412
평화주차장(민영),동대문구 전농동 270-31,NP,24,1000,30,1000,30,10000,0,,1100 ~ 1900,0700 ~ 2000,0700 ~ 2000,,미연계,37.578312,127.055042
롯데백화점 청량리점 주차장,동대문구 전농동 588-1 ,BS,1531,1000,30,1000,10,0,520,2024-10-02 16:00:00,0000 ~ 2359,0000 ~ 2359,0000 ~ 2359,02-3707-2350,20분,37.581328,127.049055
서울시립대로-2,서울시립대로 75 ~ 서울시립대로 75,T,21,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.57848238,127.04937991
홍릉로-2,홍릉로 8 ~ 홍릉로 16,T,10,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5817522,127.0448506
BYC청량리오피스텔,동대문구 용두동 793-0,BS,140,1000,30,1000,30,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.578728,127.04186
노브랜드 경동시장점,동대문구 제기동 1019-0 ,BS,128,1000,30,500,15,,0,,1000 ~ 2000,1000 ~ 2000,1000 ~ 2000,,미연계,37.579129,127.039385
동서시장 과일채소부 공영주차장(구),동대문구 제기동 849-0,NS,94,300,10,300,10,36000,0,,0900 ~ 1900,0900 ~ 1500,0000 ~ 0000,02-962-1650,미연계,37.58158981,127.04054707
경동-1,고산자로36길 3 ~ 고산자로 476,T,50,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5789662,127.0385062
동일주차장(민영),동대문구 제기동 1052-3,NP,14,2000,30,2000,30,15000,0,,0700 ~ 1900,0700 ~ 1900,0700 ~ 1900,,미연계,37.57838655,127.03788404
서울약령시공영주차장(구),동대문구 제기동 1082-0,NW,199,300,10,300,10,13000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,070-5088-2390,미연계,37.58066496,127.03763208
세명유료주차장(민영),동대문구 제기동 1054-1,NP,35,2000,30,1000,15,30000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-969-6489,미연계,37.57904117,127.03804212
정릉천복개 공영주차장(구),동대문구 제기동 271-50,NW,143,500,10,,,,0,,0900 ~ 1900,0900 ~ 1500,0000 ~ 2400,,미연계,37.580998,127.035313
한솔동의보감주차장(민영),동대문구 제기동 271-48,NP,240,1500,30,,,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.58059824,127.03460499
두산베어스타워,동대문구 용두동 138-41,BS,110,2000,30,2000,30,30000,110,2024-10-02 16:01:26,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.578574,127.03242
낙산성곽 버스전용 주차장(구),종로구 창신동 615-62,NS,9,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.58024483,127.01017306
창신쌍용2지구 북측 이륜차 주차장(구),종로구 창신동 37-16,NS,9,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.58056997,127.01065569
한성대학교 주차장,성북구 삼선동2가 389-0 ,BS,150,500,10,500,10,10000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.582756,127.010326
연주차장(민영),종로구 동숭동 190-12,NP,5,,,,,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5797029,127.004861
유니플렉스 주차장,종로구 동숭동 25-9 ,BS,33,2000,30,2000,30,10000,0,,0730 ~ 2300,0730 ~ 2300,0730 ~ 2300,0,미연계,37.582291,127.00457
GS타임즈 대학로(민영),종로구 동숭동 1-138,NP,15,2000,30,2000,30,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.580341,127.003699
SJA빌딩 주차장,종로구 연건동 39-0,BS,29,3000,60,500,10,10000,0,,0900 ~ 1900,0900 ~ 1900,0900 ~ 1000,,미연계,37.579143,127.001817
대승(민영),종로구 연건동 37-0,NP,20,,,,,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-2233-4585,미연계,37.57903455,127.00186647
대학로 문화공간 주차장,종로구 동숭동 1-80 ,BS,34,2500,60,2500,60,0,0,,1030 ~ 2300,1030 ~ 2300,1030 ~ 2300,,미연계,37.582281,127.003668
대학로 바탕골 주차장,종로구 동숭동 1-60,BS,10,2000,30,2000,30,,0,,0800 ~ 2100,0800 ~ 2100,0800 ~ 2100,,미연계,37.581891,127.00258
대학로스타시티빌딩 주차장,종로구 명륜4가 113-1 ,BS,33,2000,30,2000,30,24500,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,0,미연계,37.582063,127.000488
대학로예술극장 주차장,종로구 동숭동 1-67 ,BS,71,2000,30,1000,15,0,0,,0800 ~ 2300,0800 ~ 2300,0800 ~ 2300,,미연계,37.582051,127.00319
더브릭스빌딩 주차장,종로구 동숭동 1-93,BS,12,2000,30,1000,15,0,0,,0900 ~ 2200,0900 ~ 2200,0900 ~ 2200,0,미연계,37.580989,127.003737
동호(민영),종로구 동숭동 1-143,NP,13,2000,30,1000,15,20000,0,,1000 ~ 2400,1000 ~ 2400,1000 ~ 2400,02-743-5377,미연계,37.580546,127.004029
리트모빌딩 주차장,종로구 동숭동 1-73,BS,16,3000,60,1500,30,15000,0,,0900 ~ 2200,0900 ~ 2200,0900 ~ 2200,,미연계,37.582485,127.003286
서울대학교병원 고객 주차장,종로구 연건동 28-21 ,BS,1595,1500,30,500,10,30000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.57900667,126.99913502
예스24스테이지,종로구 동숭동 1-52 ,BS,33,2000,30,500,10,,0,,0800 ~ 2300,0800 ~ 2300,0800 ~ 2300,,미연계,37.582779,127.003308
유리빌딩 주차장,종로구 동숭동 1-131,BS,22,3000,30,1000,15,20000,0,,0700 ~ 2400,0700 ~ 2400,0700 ~ 2400,,미연계,37.57991952,127.00352907
자유빌딩 주차장,종로구 동숭동 1-45,BS,25,2000,30,2000,30,12000,0,,0800 ~ 2300,0800 ~ 2300,0800 ~ 2300,,미연계,37.58275,127.00364
청민빌딩 주차장,종로구 동숭동 1-55,BS,26,1500,30,1500,30,0,0,,0900 ~ 2400,0900 ~ 2400,0900 ~ 2400,,미연계,37.58277984,127.00265773
한국문화예술위원회 예술가의 집,종로구 동숭동 1-130,BS,28,4000,60,1500,20,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-760-4625,미연계,37.580209,127.002916
한국방송통신대학교 주차장,종로구 동숭동 169-1 ,BS,331,400,5,400,5,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.579638,127.003068
황금주차장(민영),종로구 명륜4가 105,NP,28,2000,30,1000,15,25000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-744-9882,미연계,37.581847,127.001418
아시아 주차장(민영),종로구 명륜4가 187-0,NP,16,2000,30,2000,30,0,0,,0700 ~ 2200,0700 ~ 2200,0700 ~ 2200,,미연계,37.58252,126.998723
창경궁관리소,종로구 와룡동 2-1 ,BS,33,3000,120,500,10,,0,,0900 ~ 1900,0900 ~ 1900,0900 ~ 1900,02-2172-0108,미연계,37.5806991414411,126.99625552728921
창경궁로1 관광버스 주차허용 구간(시),종로구 와룡동 2-86 (창경궁주차장~홍화문),NS,11,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02)2133-2357,미연계,37.58026036,126.99632737
창경궁로2 관광버스 주차허용 구간(시),종로구 와룡동 2-86 (홍화문~선인문),NS,5,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02)2133-2357,미연계,37.57921259,126.9964856
원서공원 앞(구),종로구 와룡동 206-0,NS,17,500,5,500,5,0,0,,0900 ~ 1900,0900 ~ 1900,0900 ~ 1900,,미연계,37.57849518,126.98930655
현대빌딩,종로구 계동 140-2 ,BS,1195,3000,30,3000,30,15000,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,0,미연계,37.578308,126.987502
도구로-1, ~ ,T,65,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5806517,126.9885977
정독도서관,종로구 화동 2-0 ,BP,45,190,5,190,5,0,0,2022-04-15 11:33:00,0700 ~ 2230,0700 ~ 2230,0700 ~ 2230,02-2011-5799,미연계,37.58078251,126.98313418
청남문화원(민영),종로구 가회동 170-4,NP,20,2000,30,500,10,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-765-7174,미연계,37.580333,126.984775
화동(민영),종로구 화동 76-2,NP,14,2000,30,2000,30,25000,0,,0900 ~ 2300,0900 ~ 2300,0900 ~ 2300,02-733-1110,미연계,37.58097353,126.98197427
화동유료주차장(민영),종로구 화동 76-2,NP,14,2500,30,2500,30,25000,0,,0900 ~ 2200,0900 ~ 2200,0900 ~ 2200,02-733-1110,미연계,37.58096,126.981975
국립현대미술관 서울관,종로구 소격동 165-0 ,BP,384,3000,60,500,10,20000,236,2024-10-02 16:01:42,0800 ~ 2300,0800 ~ 2300,0800 ~ 2300,02-3701-9841~4,20분,37.57951713,126.98059114
대화(민영),종로구 팔판동 59-4,NP,16,3000,30,1000,10,40000,0,,0900 ~ 2200,0900 ~ 2200,0900 ~ 2200,02-738-4074,미연계,37.582314,126.981621
푸른기린(민영),종로구 화동 56-0,NP,25,2000,30,2000,30,40000,0,,0900 ~ 2300,0900 ~ 2300,0900 ~ 2300,02-725-1481,미연계,37.581743,126.981513
끄레아(민영),종로구 통의동 79-0,NP,45,1000,10,1000,10,40000,0,,0800 ~ 2300,0900 ~ 2200,0900 ~ 2200,02-723-1942,미연계,37.578541,126.9724
자하문로-2,자하문로 43 ~ 자하문로 13-1,T,45,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5810246,126.9708826
필운대로 도미노피자앞 이륜차 주차장(구),종로구 누하동 7-0,NS,11,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.57990592,126.96863337
서대문구청 주차장,서대문구 연희동 168-6 ,BP,85,500,5,500,5,20000,0,,0900 ~ 1800,0000 ~ 0000,0000 ~ 0000,02-330-1063,미연계,37.57922299,126.9366198
홍은2동 주민센터,,DI,1,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5800365,126.9340728
남가좌2동 주민센터,,DI,1,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.578518,126.92377
DMC우방아파트 주차장,은평구 증산동 244-0 ,BS,5,0,0,0,0,0,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-303-7223,미연계,37.58201,126.902829
수색동공영주차장(구),은평구 수색동 78-2,NW,111,100,5,100,5,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,010-2981-8523,미연계,37.58049896,126.89893152
이마트 수색점,은평구 수색동 75-0 ,BS,703,1000,10,1000,10,30000,0,,1000 ~ 2200,1000 ~ 2200,1000 ~ 2200,02--,미연계,37.579641,126.898765
SBS프리즘 타워주차장,마포구 상암동 1607-1 ,BS,196,0,30,500,10,0,159,2024-10-02 16:01:48,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.57970504,126.89280744
디디엠씨(DDMC) 주차장,마포구 상암동 1610-0 ,BS,715,0,0,500,10,22000,517,2024-10-02 16:01:26,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.57840939,126.89298914
삼천리주차장(민영),은평구 수색동 72-1,NP,50,1000,60,200,10,10000,0,,0800 ~ 2300,0800 ~ 2300,0800 ~ 2300,,미연계,37.58087565,126.89704137
성암로 관광버스 주차허용 구간(시),마포구 상암동 1695-0,NS,7,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.581598,126.891665
수색마트 주차장(수정주차장),은평구 수색동 106-1 ,BS,44,1000,30,1000,30,15000,0,,0800 ~ 2300,0800 ~ 2300,0800 ~ 2300,02-302-9000,미연계,37.582176,126.895922
수정 주차장,은평구 수색동 106-1 ,BS,44,1000,30,1000,30,15000,0,,0800 ~ 2300,0800 ~ 2300,0800 ~ 2300,,미연계,37.58219567,126.89594712
엠비씨 씨앤아이 파크엠(MBC C&I PARK M),마포구 상암동 1615-0 ,BS,631,1500,10,500,10,30000,399,2024-10-02 16:01:44,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.57858093,126.89427368
코레일네트웍스(주)수색(민영),은평구 수색동 81-1,NP,78,0,,300,10,10000,0,,0700 ~ 2300,0700 ~ 2300,0700 ~ 2300,02-3271-0737,미연계,37.58095012,126.89617439
한국철도공사(수색역),은평구 수색동 81-0 ,BS,78,1000,30,500,10,10000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-1544-7788,미연계,37.58185032672859,126.89444275163706
(주)우리기술 사옥,마포구 상암동 1593-0 ,BS,159,500,10,500,10,,126,2024-10-02 15:59:14,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.58139385,126.887447
CJ E&M 센터  주차장,마포구 상암동 1606-0,BS,484,1000,20,1000,20,0,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.578533,126.891559
KGIT 센터 주차장,마포구 상암동 1601-0,BS,555,6000,30,500,10,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.580069,126.889111
누리꿈스퀘어 주차장,마포구 상암동 1605-0,BS,969,500,10,500,10,20000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.579367,126.890277
상암 더팬빌딩 주차장[마포 상암점],마포구 상암동 1592-0 ,BS,120,500,10,500,10,0,101,2024-10-02 16:01:48,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.58162041,126.88706131
전자회관 주차장,마포구 상암동 1599-0,BS,146,1500,30,500,10,20000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.5808418,126.8883896
한국콘텐츠진흥원 상암분원,마포구 상암동 1602-0 ,BP,121,,,,,,0,,0000 ~ 0000,0000 ~ 2400,0000 ~ 2400,02-300-5901,미연계,37.580547,126.889691
마포청소년문화의집,마포구 상암동 1688-0 ,BP,19,,,,,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-303-6303,미연계,37.580349,126.883908
상암IT타워 주차장,마포구 상암동 1590-0,BS,363,1500,30,500,10,30000,0,,0600 ~ 2400,0600 ~ 2400,0600 ~ 2400,,미연계,37.581694,126.885952
도로교통공단 서부운전면허시험장,마포구 상암동 339-6 ,BP,190,,,,,,0,,0830 ~ 1800,0000 ~ 0000,0000 ~ 0000,02-300-3521,미연계,37.579237,126.879504
난지도길-1,가양대로 110 ~ 성산동 665,T,285,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5796408,126.8768784
난지도길-2,성산동 665 ~ 가양대로 110,T,285,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5783179,126.8797066
금낭화로-1,금낭화로 167 ~ 금낭화로 170,T,25,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5813261,126.8127639
금낭화로-2,금낭화로 170 ~ 금낭화로 167,T,25,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5814919,126.8127931
공유) 22-29(구),강서구 방화동 816-4 담벼락쪽,NS,6,600,30,600,30,0,0,2024-06-21 08:21:14,0900 ~ 1800,0000 ~ 0000,0000 ~ 0000,,미연계,37.578606,126.812339
용마폭포공원공영주차장(구),중랑구 면목동 1-4,NW,119,100,5,,,,0,,0900 ~ 2100,0900 ~ 2100,0000 ~ 0000,,미연계,37.57436,127.089338
제일1주차장(민영),중랑구 면목동 353-8,NP,11,2000,60,0,0,10000,0,,0800 ~ 2130,0800 ~ 2130,0800 ~ 2130,02-492-9939,미연계,37.57784936,127.0851203
중곡초교(구),중랑구 면목동 380-0,NW,140,100,5,100,5,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.574305,127.08376
장한로-4,장한로 144 ~ 장한로 198,T,77,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5741444,127.07209001
장안2동 공영주차장(시),동대문구 장안동 286-9,NW,80,130,5,130,5,9300,62,2024-10-02 16:01:32,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2290-6417,20분,37.5782752,127.07061896
장안공원지하주차장(구),동대문구 장안동 300-0,NW,163,500,10,0,0,0,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.577394,127.071387
장한로-3,장한로 199 ~ 장한로 147,T,80,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.57688501,127.0719611
전농하우스토리 주차장,동대문구 전농동 32-4 ,BS,165,1000,30,500,10,20000,0,2023-07-26 16:27:38,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.5771126,127.05852259
전농로-1,전농로 115 ~ 전농로 105,T,15,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5753303,127.0575066
부군당길공영주차장(구),동대문구 전농동 273-1,NW,63,500,10,500,10,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2247-9664~6,미연계,37.578219,127.054589
전농1동주민센터,동대문구 전농동 678-1 ,BP,2,,,,,,0,,1800 ~ 0800,0000 ~ 2400,0000 ~ 2400,02-2171-6103,미연계,37.577985,127.047724
LG전자베스트샵 용두점,동대문구 용두동 29-6,BS,27,3000,10,3000,10,80000,27,2024-10-02 16:01:31,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.575415,127.0386
동대문구청,동대문구 용두동 39-9 ,BP,264,,,,,,0,,1800 ~ 0800,0000 ~ 2400,0000 ~ 2400,02-2127-4310,미연계,37.574371,127.039834
홈플러스 동대문점,동대문구 용두동 33-1,BS,669,1000,10,1000,10,30000,354,2024-10-02 16:01:54,1000 ~ 2400,1000 ~ 2400,1000 ~ 2400,02-2173-8000,20분,37.574439,127.038774
공유) 용신동 B 98구간(구),동대문구 용두동 52-42,NW,26,1000,60,1000,60,,0,,0900 ~ 1900,0900 ~ 1900,0000 ~ 0000,,미연계,37.577323,127.036779
동대문베네스트어반라이프,동대문구 용두동 100-5 ,BS,131,1000,30,1000,30,30000,131,2024-10-02 16:01:26,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.577858,127.033597
동의보감타워,동대문구 용두동 787-0 ,BS,153,1500,30,1500,30,0,153,2024-10-02 16:01:30,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.577816,127.037717
푸르지오시티,동대문구 용두동 104-3,BS,450,0,2,1000,30,20000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.57777,127.032774
서울동부병원,동대문구 용두동 118-20,BS,144,500,10,500,10,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.57536,127.031545
용운빌딩,동대문구 용두동 119-1,BS,48,2000,30,1000,10,,0,,0800 ~ 2200,0800 ~ 2200,0800 ~ 2200,,미연계,37.577694,127.031023
 ABL생명빌딩 주차장,종로구 숭인동 1383-0 ,BS,57,2000,30,1000,15,,0,,0700 ~ 2200,0700 ~ 2200,0700 ~ 2200,,미연계,37.574589,127.021938
갈비예찬(민영),종로구 숭인동 1383-2,NP,25,3000,30,1000,10,30000,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.57455972,127.02166496
계명주차장(민영),종로구 숭인동 1063-0,NP,47,2000,30,1000,10,,0,,0700 ~ 2300,0700 ~ 2300,0700 ~ 2300,02-1599-5400,미연계,37.575458,127.022056
대경빌딩 주차장,종로구 숭인동 1385-0 ,BS,79,3000,30,1000,10,24000,0,,0700 ~ 2200,0800 ~ 1900,0900 ~ 1900,0,미연계,37.574339,127.022882
신설동제2주차장(민영),동대문구 신설동 81-84,NP,25,1500,30,1500,30,10000,0,,0800 ~ 2130,0800 ~ 2130,0800 ~ 2130,02-923-7043,미연계,37.576676,127.023851
롯데캐슬 뒤 이륜차 주차장(구),종로구 숭인동 76-1,NS,8,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.57429402,127.01649412
종로63가길 이륜차 주차장(구),종로구 숭인동 58-2,NS,5,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.57728049,127.01868347
창대교회 옆 이륜차 주차장(구),종로구 숭인동 62-9,NS,2,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.5745967,127.01629944
공유) 창신동 49번~53번(창삼 제1공영주차장)(구),종로구 창신동 23-348,NW,5,600,30,100,5,,0,,0900 ~ 1800,0900 ~ 1800,0900 ~ 1800,02-2148-3335,미연계,37.575867,127.012512
낙산공영(구),종로구 창신동 23-343,NW,46,150,5,150,5,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-6048-1234,미연계,37.5773975,127.012171
우성(민영),종로구 창신동 647-12,NP,16,2000,30,3000,60,15000,0,,0700 ~ 2359,0700 ~ 2359,0700 ~ 2359,,미연계,37.57416874,127.01046333
창삼공영(구),종로구 창신동 23-346,NW,53,150,5,150,5,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.5762399,127.0125243
창신 주차장(민영),종로구 창신동 596-12,NP,10,,,,,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.576966,127.010177
창신1동공영주차장(창일공영)(구),종로구 창신동 82-0,NW,86,2000,240,,,5000,0,,0900 ~ 1800,0900 ~ 1800,0900 ~ 1800,02-2236-0052,미연계,37.57488143,127.0150838
서울지방국세청효제별관(이륜주차장)(구),종로구 효제동 6-3 ,NS,2,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.574043,127.004551
예일빌딩 주차장,종로구 충신동 60-0,BS,67,5000,60,5000,60,0,0,,0800 ~ 1800,0000 ~ 0000,0000 ~ 0000,,미연계,37.575312,127.004678
이화공영(구),종로구 이화동 13-2,NW,100,400,5,400,5,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.576537,127.005578
동신(민영),종로구 이화동 215-0,NP,12,2000,30,1000,15,15000,0,,0700 ~ 1900,0800 ~ 1700,0000 ~ 0000,02-765-9122,미연계,37.575798,127.003311
