주차장 이름,주변 주차장
동대문두산타워 주차장,"청계5가 공영주차장(시): 89, 현대백화점 현대시티아울렛 동대문점: 92, 청계5(남) 공영주차장(시): 136, DDP북측 마장로 관광버스전용 주차장(시): 158, 청계5(북1) 공영주차장(시): 159, 청계6(신평화시장앞) 공영주차장(시): 228, 남평화시장(구): 254, 청계5(방산동) 공영주차장(시): 254, 훈련원공원 옆(구): 345, 동대문 공영주차장(시): 352, DDP동측(양쪽) 관광버스전용 주차장(시): 381, 청계6(동평화) 공영주차장(시): 396, 서울디자인재단 본관 주차장: 455, 청계6(북) 공영주차장(시): 460, 훈련원공원 공영주차장(시): 489"
현대백화점 현대시티아울렛 동대문점,"동대문두산타워 주차장: 92, 청계5(남) 공영주차장(시): 104, 청계5(북1) 공영주차장(시): 144, 청계5가 공영주차장(시): 158, 청계5(방산동) 공영주차장(시): 182, DDP북측 마장로 관광버스전용 주차장(시): 241, 훈련원공원 옆(구): 253, 청계6(신평화시장앞) 공영주차장(시): 320, 남평화시장(구): 346, 훈련원공원 공영주차장(시): 396, 동대문 공영주차장(시): 420, 청계6(북) 공영주차장(시): 431, DDP동측(양쪽) 관광버스전용 주차장(시): 437, 서울디자인재단 본관 주차장: 478, 청계6(동평화) 공영주차장(시): 488, 청계5(동호로_남) 공영주차장(시): 491"
훈련원공원 옆(구),"훈련원공원 공영주차장(시): 143, 청계5(방산동) 공영주차장(시): 204, 현대백화점 현대시티아울렛 동대문점: 253, 청계5(남) 공영주차장(시): 286, 청계5(동호로_남) 공영주차장(시): 290, 청계3(동호로) 공영주차장(시): 316, 청계5(북1) 공영주차장(시): 319, 동대문두산타워 주차장: 345, 청계3(남) 공영주차장(시): 375, 청계5(동호로_북) 공영주차장(시): 378, 우리은행ATM 종로5가지점: 388, 청계5가 공영주차장(시): 403, 청계3(북1) 공영주차장(시): 404, 마른내로 공영주차장(시): 476, DDP북측 마장로 관광버스전용 주차장(시): 481, 남산센트럴시티투웨니퍼스트오피스텔: 497, DDP동측(양쪽) 관광버스전용 주차장(시): 515, 청계6(북) 공영주차장(시): 542, 서울디자인재단 본관 주차장: 627, 묵정공원지하 공영주차장(구): 644"
청계3(동호로) 공영주차장(시),"청계5(동호로_남) 공영주차장(시): 25, 청계3(남) 공영주차장(시): 60, 청계3(북1) 공영주차장(시): 88, 우리은행ATM 종로5가지점: 93, 청계5(동호로_북) 공영주차장(시): 119, 훈련원공원 공영주차장(시): 244, 훈련원공원 옆(구): 316, 청계5(방산동) 공영주차장(시): 359, 청계3(창경궁로_남) 공영주차장(시): 365, 청계2(북2) 공영주차장(시): 391, 청계3(창경궁로_북1) 공영주차장(시): 429, 청계5(남) 공영주차장(시): 490, 청계5(북1) 공영주차장(시): 495, 남산센트럴시티투웨니퍼스트오피스텔: 506, 배오개길 공영주차장(시): 508, 종로플레이스 주차장: 508, 마른내로 공영주차장(시): 511, 을지트윈타워 주차장: 530, 하나손해보험빌딩 주차장: 578, 동순라길(종묘) 관광버스전용 주차장(시): 621, 묵정공원지하 공영주차장(구): 632, 마른내길 공영주차장(시): 648"
청계5(동호로_남) 공영주차장(시),"청계3(동호로) 공영주차장(시): 25, 청계3(남) 공영주차장(시): 86, 우리은행ATM 종로5가지점: 111, 청계3(북1) 공영주차장(시): 113, 청계5(동호로_북) 공영주차장(시): 129, 훈련원공원 공영주차장(시): 223, 훈련원공원 옆(구): 290, 청계5(방산동) 공영주차장(시): 337, 청계3(창경궁로_남) 공영주차장(시): 385, 청계2(북2) 공영주차장(시): 414, 청계3(창경궁로_북1) 공영주차장(시): 455, 청계5(남) 공영주차장(시): 467, 청계5(북1) 공영주차장(시): 478, 청계5가 공영주차장(시): 490, 현대백화점 현대시티아울렛 동대문점: 491, 남산센트럴시티투웨니퍼스트오피스텔: 501, 마른내로 공영주차장(시): 503, 배오개길 공영주차장(시): 516, 종로플레이스 주차장: 531, 을지트윈타워 주차장: 542, 하나손해보험빌딩 주차장: 602, 묵정공원지하 공영주차장(구): 630, 동순라길(종묘) 관광버스전용 주차장(시): 645, 마른내길 공영주차장(시): 653"
훈련원공원 공영주차장(시),"훈련원공원 옆(구): 143, 청계5(동호로_남) 공영주차장(시): 223, 청계3(동호로) 공영주차장(시): 244, 청계3(남) 공영주차장(시): 292, 청계5(방산동) 공영주차장(시): 319, 청계3(북1) 공영주차장(시): 329, 우리은행ATM 종로5가지점: 335, 청계5(동호로_북) 공영주차장(시): 343, 마른내로 공영주차장(시): 358, 남산센트럴시티투웨니퍼스트오피스텔: 372, 현대백화점 현대시티아울렛 동대문점: 396, 청계5(남) 공영주차장(시): 422, 청계5(북1) 공영주차장(시): 451, 동대문두산타워 주차장: 489, 청계3(창경궁로_남) 공영주차장(시): 493, 배오개길 공영주차장(시): 498, 묵정공원지하 공영주차장(구): 518, 청계5가 공영주차장(시): 544, 청계3(창경궁로_북1) 공영주차장(시): 550, 서울디자인재단 본관 주차장: 734, 종로플레이스 주차장: 753"
공유) 삼풍상가3구간(02~12)(구),"삼풍넥서스빌딩: 16, 공유) 삼풍상가4구간(23~26)(구): 37, 공유) 삼풍상가4구간(18~21)(구): 111, 을지트윈타워 주차장: 137, 배오개길 공영주차장(시): 227, 세운대림상가(동측)(구): 242, 세운대림상가(서측)(구): 243, 돈화문로 공영주차장(시): 270, 마른내길 공영주차장(시): 275, 청계2(북1) 공영주차장(시): 297, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 305, 청계3(창경궁로_남) 공영주차장(시): 312, 청계2(북2) 공영주차장(시): 348, 묵정공원지하 공영주차장(구): 440, 남산센트럴시티투웨니퍼스트오피스텔: 483, 청계3(창경궁로_북1) 공영주차장(시): 498, 마른내로 공영주차장(시): 508, 종묘주차장 공영주차장(시): 599, 청계3(남) 공영주차장(시): 601, 청계3(북1) 공영주차장(시): 612"
공유) 삼풍상가4구간(23~26)(구),"삼풍넥서스빌딩: 24, 공유) 삼풍상가3구간(02~12)(구): 37, 공유) 삼풍상가4구간(18~21)(구): 122, 을지트윈타워 주차장: 172, 세운대림상가(서측)(구): 224, 세운대림상가(동측)(구): 230, 돈화문로 공영주차장(시): 239, 마른내길 공영주차장(시): 261, 배오개길 공영주차장(시): 264, 청계2(북1) 공영주차장(시): 275, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 323, 청계3(창경궁로_남) 공영주차장(시): 325, 청계2(북2) 공영주차장(시): 354, 묵정공원지하 공영주차장(구): 476, 청계3(창경궁로_북1) 공영주차장(시): 496, 청계3(남) 공영주차장(시): 498, 마른내로 공영주차장(시): 502, 종묘주차장 공영주차장(시): 583, 청계3(북1) 공영주차장(시): 614"
삼풍넥서스빌딩,"공유) 삼풍상가3구간(02~12)(구): 16, 공유) 삼풍상가4구간(23~26)(구): 24, 공유) 삼풍상가4구간(18~21)(구): 106, 을지트윈타워 주차장: 153, 배오개길 공영주차장(시): 242, 세운대림상가(서측)(구): 243, 세운대림상가(동측)(구): 245, 돈화문로 공영주차장(시): 253, 마른내길 공영주차장(시): 261, 청계2(북1) 공영주차장(시): 295, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 304, 청계3(창경궁로_남) 공영주차장(시): 325, 청계2(북2) 공영주차장(시): 358, 묵정공원지하 공영주차장(구): 452, 남산센트럴시티투웨니퍼스트오피스텔: 498, 청계3(창경궁로_북1) 공영주차장(시): 505, 마른내로 공영주차장(시): 517, 종묘주차장 공영주차장(시): 600, 청계3(남) 공영주차장(시): 600, 청계3(북1) 공영주차장(시): 627"
공유) 삼풍상가4구간(18~21)(구),"삼풍넥서스빌딩: 106, 공유) 삼풍상가3구간(02~12)(구): 111, 공유) 삼풍상가4구간(23~26)(구): 122, 마른내길 공영주차장(시): 189, 을지트윈타워 주차장: 196, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 202, 돈화문로 공영주차장(시): 244, 배오개길 공영주차장(시): 253, 세운대림상가(서측)(구): 346, 세운대림상가(동측)(구): 351, 청계2(북1) 공영주차장(시): 397, 묵정공원지하 공영주차장(구): 409, 청계3(창경궁로_남) 공영주차장(시): 417, 청계2(북2) 공영주차장(시): 458, 마른내로 공영주차장(시): 461, 남산센트럴시티투웨니퍼스트오피스텔: 485, 청계3(남) 공영주차장(시): 576, 남산한옥마을 공영주차장(시): 604, 청계3(창경궁로_북1) 공영주차장(시): 610, 청계3(북1) 공영주차장(시): 696"
세운대림상가(서측)(구),"공유) 삼풍상가4구간(23~26)(구): 62, 삼풍넥서스빌딩: 83, 공유) 삼풍상가3구간(02~12)(구): 88, 세운대림상가(서측)(구): 161, 세운대림상가(동측)(구): 171, 공유) 삼풍상가4구간(18~21)(구): 184, 을지트윈타워 주차장: 198, 청계2(북1) 공영주차장(시): 213, 돈화문로 공영주차장(시): 254, 청계3(창경궁로_남) 공영주차장(시): 293, 배오개길 공영주차장(시): 296, 마른내길 공영주차장(시): 307, 청계2(북2) 공영주차장(시): 311, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 386, 청계3(창경궁로_북1) 공영주차장(시): 444, 청계3(남) 공영주차장(시): 472, 종묘주차장 공영주차장(시): 521, 묵정공원지하 공영주차장(구): 523, 마른내로 공영주차장(시): 538, 청계3(북1) 공영주차장(시): 578"
배오개길 공영주차장(시),"을지트윈타워 주차장: 98, 공유) 삼풍상가3구간(02~12)(구): 227, 삼풍넥서스빌딩: 242, 묵정공원지하 공영주차장(구): 248, 공유) 삼풍상가4구간(18~21)(구): 253, 남산센트럴시티투웨니퍼스트오피스텔: 258, 공유) 삼풍상가4구간(23~26)(구): 264, 마른내로 공영주차장(시): 299, 청계3(창경궁로_남) 공영주차장(시): 301, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 316, 청계2(북2) 공영주차장(시): 371, 세운대림상가(동측)(구): 375, 세운대림상가(서측)(구): 403, 마른내길 공영주차장(시): 439, 청계2(북1) 공영주차장(시): 459, 돈화문로 공영주차장(시): 485, 청계3(남) 공영주차장(시): 485, 훈련원공원 공영주차장(시): 498, 청계3(동호로) 공영주차장(시): 508, 청계3(북1) 공영주차장(시): 509, 청계5(동호로_남) 공영주차장(시): 516, 청계3(창경궁로_북1) 공영주차장(시): 537, 우리은행ATM 종로5가지점: 567, 청계5(동호로_북) 공영주차장(시): 613, 청계5(방산동) 공영주차장(시): 625, 앰배서더서울 풀만 호텔: 702"
세운대림상가(동측)(구),"세운대림상가(서측)(구): 50, 청계2(북1) 공영주차장(시): 91, 청계2(북2) 공영주차장(시): 179, 청계3(창경궁로_남) 공영주차장(시): 203, 공유) 삼풍상가4구간(23~26)(구): 230, 공유) 삼풍상가3구간(02~12)(구): 242, 삼풍넥서스빌딩: 245, 청계3(창경궁로_북1) 공영주차장(시): 279, 을지트윈타워 주차장: 284, 공유) 삼풍상가4구간(18~21)(구): 351, 종묘주차장 공영주차장(시): 357, 배오개길 공영주차장(시): 375, 돈화문로 공영주차장(시): 391, 마른내길 공영주차장(시): 473, 청계3(남) 공영주차장(시): 498, 청계3(북1) 공영주차장(시): 505, 하나손해보험빌딩 주차장: 513, 동순라길(종묘) 관광버스전용 주차장(시): 529, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 547, 종로플레이스 주차장: 565, 남산센트럴시티투웨니퍼스트오피스텔: 617, 묵정공원지하 공영주차장(구): 623, 마른내로 공영주차장(시): 637"
청계2(북2) 공영주차장(시),"세운대림상가(동측)(구): 55, 세운대림상가(서측)(구): 93, 청계2(북1) 공영주차장(시): 106, 청계2(북2) 공영주차장(시): 143, 청계3(창경궁로_남) 공영주차장(시): 184, 청계3(창경궁로_북1) 공영주차장(시): 224, 공유) 삼풍상가4구간(23~26)(구): 283, 공유) 삼풍상가3구간(02~12)(구): 292, 삼풍넥서스빌딩: 296, 종묘주차장 공영주차장(시): 313, 을지트윈타워 주차장: 318, 공유) 삼풍상가4구간(18~21)(구): 403, 배오개길 공영주차장(시): 403, 돈화문로 공영주차장(시): 445, 하나손해보험빌딩 주차장: 459, 청계3(북1) 공영주차장(시): 470, 동순라길(종묘) 관광버스전용 주차장(시): 476, 청계3(남) 공영주차장(시): 477, 종로플레이스 주차장: 509, 마른내길 공영주차장(시): 528, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 596, 남산센트럴시티투웨니퍼스트오피스텔: 634, 묵정공원지하 공영주차장(구): 652, 마른내로 공영주차장(시): 669"
청계2(북1) 공영주차장(시),"세운대림상가(서측)(구): 56, 세운대림상가(동측)(구): 91, 청계2(북2) 공영주차장(시): 249, 공유) 삼풍상가4구간(23~26)(구): 275, 청계3(창경궁로_남) 공영주차장(시): 287, 삼풍넥서스빌딩: 295, 공유) 삼풍상가3구간(02~12)(구): 297, 청계3(창경궁로_북1) 공영주차장(시): 303, 종묘주차장 공영주차장(시): 313, 을지트윈타워 주차장: 365, 돈화문로 공영주차장(시): 379, 공유) 삼풍상가4구간(18~21)(구): 397, 청계3(북1) 공영주차장(시): 399, 청계3(남) 공영주차장(시): 450, 배오개길 공영주차장(시): 459, 청계1(북) 공영주차장(시): 475, 세종주차장(민영): 486, 마른내길 공영주차장(시): 487, 크리스탈스퀘어 주차장: 488, 하나손해보험빌딩 주차장: 505, 동순라길(종묘) 관광버스전용 주차장(시): 514, 종로플레이스 주차장: 573, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 599, 마른내로 공영주차장(시): 664, 묵정공원지하 공영주차장(구): 705"
을지트윈타워 주차장,"배오개길 공영주차장(시): 98, 공유) 삼풍상가3구간(02~12)(구): 137, 삼풍넥서스빌딩: 153, 공유) 삼풍상가4구간(23~26)(구): 172, 공유) 삼풍상가4구간(18~21)(구): 196, 청계3(창경궁로_남) 공영주차장(시): 253, 세운대림상가(동측)(구): 284, 세운대림상가(서측)(구): 308, 청계2(북2) 공영주차장(시): 313, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 322, 묵정공원지하 공영주차장(구): 340, 남산센트럴시티투웨니퍼스트오피스텔: 357, 청계2(북1) 공영주차장(시): 365, 마른내길 공영주차장(시): 384, 마른내로 공영주차장(시): 397, 돈화문로 공영주차장(시): 405, 청계3(창경궁로_북1) 공영주차장(시): 478, 청계3(남) 공영주차장(시): 497, 청계3(북1) 공영주차장(시): 514, 청계3(동호로) 공영주차장(시): 530, 청계5(동호로_남) 공영주차장(시): 542, 우리은행ATM 종로5가지점: 575, 청계5(방산동) 공영주차장(시): 612, 청계5(동호로_북) 공영주차장(시): 623, 종묘주차장 공영주차장(시): 630"
청계3(창경궁로_남) 공영주차장(시),"청계2(북2) 공영주차장(시): 75, 세운대림상가(동측)(구): 203, 청계3(창경궁로_북1) 공영주차장(시): 237, 세운대림상가(서측)(구): 253, 을지트윈타워 주차장: 253, 청계2(북1) 공영주차장(시): 287, 배오개길 공영주차장(시): 301, 공유) 삼풍상가3구간(02~12)(구): 312, 청계3(남) 공영주차장(시): 313, 청계3(북1) 공영주차장(시): 315, 공유) 삼풍상가4구간(23~26)(구): 325, 삼풍넥서스빌딩: 325, 청계3(동호로) 공영주차장(시): 365, 우리은행ATM 종로5가지점: 375, 청계5(동호로_남) 공영주차장(시): 385, 공유) 삼풍상가4구간(18~21)(구): 417, 청계5(동호로_북) 공영주차장(시): 424, 종묘주차장 공영주차장(시): 435, 남산센트럴시티투웨니퍼스트오피스텔: 485, 하나손해보험빌딩 주차장: 495, 청계5(방산동) 공영주차장(시): 501, 종로플레이스 주차장: 503, 마른내로 공영주차장(시): 516, 동순라길(종묘) 관광버스전용 주차장(시): 525, 묵정공원지하 공영주차장(구): 535, 돈화문로 공영주차장(시): 547, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 574, 마른내길 공영주차장(시): 586"
돈화문로 공영주차장(시),"마른내길 공영주차장(시): 154, 공유) 삼풍상가4구간(23~26)(구): 239, 공유) 삼풍상가4구간(18~21)(구): 244, 삼풍넥서스빌딩: 253, 공유) 삼풍상가3구간(02~12)(구): 270, 세운대림상가(서측)(구): 355, 파인에비뉴: 357, 청계2(북1) 공영주차장(시): 379, 크리스탈스퀘어 주차장: 379, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 384, 세운대림상가(동측)(구): 391, 을지트윈타워 주차장: 405, 청계1(북) 공영주차장(시): 425, 시그니쳐타워 주차장: 432, 배오개길 공영주차장(시): 485, 세종주차장(민영): 490, 청계3(창경궁로_남) 공영주차장(시): 547, 청계2(북2) 공영주차장(시): 557, 청계3(창경궁로_북1) 공영주차장(시): 669"
세종주차장(민영),"청계1(북) 공영주차장(시): 79, 크리스탈스퀘어 주차장: 150, 시그니쳐타워 주차장: 176, 관철동 공영주차장(시): 281, 탑골공원 관광버스전용 주차장(시): 287, 파인에비뉴: 368, 미래에셋센터원 주차장: 397, 청계2(북1) 공영주차장(시): 486, 돈화문로 공영주차장(시): 490, 종로타워 주차장: 499, 마른내길 공영주차장(시): 642"
시그니쳐타워 주차장,"크리스탈스퀘어 주차장: 74, 청계1(북) 공영주차장(시): 114, 세종주차장(민영): 176, 파인에비뉴: 202, 관철동 공영주차장(시): 236, 미래에셋센터원 주차장: 294, 탑골공원 관광버스전용 주차장(시): 427, 돈화문로 공영주차장(시): 432, 동국제강 공영주차장(시): 446, 청계2(북1) 공영주차장(시): 502, 종로타워 주차장: 522, 마른내길 공영주차장(시): 567, 센트로폴리스: 637"
청계1(북) 공영주차장(시),"크리스탈스퀘어 주차장: 71, 세종주차장(민영): 79, 시그니쳐타워 주차장: 114, 관철동 공영주차장(시): 287, 파인에비뉴: 293, 탑골공원 관광버스전용 주차장(시): 363, 미래에셋센터원 주차장: 380, 돈화문로 공영주차장(시): 425, 청계2(북1) 공영주차장(시): 475, 종로타워 주차장: 539, 마른내길 공영주차장(시): 573"
크리스탈스퀘어 주차장,"청계1(북) 공영주차장(시): 71, 시그니쳐타워 주차장: 74, 세종주차장(민영): 150, 파인에비뉴: 222, 관철동 공영주차장(시): 298, 미래에셋센터원 주차장: 367, 돈화문로 공영주차장(시): 379, 탑골공원 관광버스전용 주차장(시): 430, 청계2(북1) 공영주차장(시): 488, 마른내길 공영주차장(시): 522, 종로타워 주차장: 573"
파인에비뉴,"시그니쳐타워 주차장: 202, 크리스탈스퀘어 주차장: 222, 청계1(북) 공영주차장(시): 293, 돈화문로 공영주차장(시): 357, 미래에셋센터원 주차장: 368, 세종주차장(민영): 368, 관철동 공영주차장(시): 384, 마른내길 공영주차장(시): 452, 동국제강 공영주차장(시): 499, 청계2(북1) 공영주차장(시): 569, 탑골공원 관광버스전용 주차장(시): 622, 종로타워 주차장: 679"
보건복지행정타운,"실로암사우나 중곡점 주차장: 499, 중곡3동공영주차장(구): 587"
경륜경정 장안지점 주차장,"두봉상가 주차장: 58, 공유) 19-19(구): 605, 공유) 19-20(구): 654"
두봉상가 주차장,"경륜경정 장안지점 주차장: 58, 공유) 19-19(구): 581, 공유) 19-20(구): 622"
공유) 20-11(구),"공유) 20-33(구): 65, 공유) 20-13(구): 81, 용답제2(평면) 공영주차장(구): 88, 공유) 20-14(구): 124, 용답동(건물) 공영주차장(구): 151, 공유) 20-15(구): 184, 평화빌딩 주차장: 240, 공유) 20-34(구): 336, 공유) 20-26(구): 364, 공유) 20-23(구): 486"
공유) 20-13(구),"공유) 20-33(구): 35, 용답제2(평면) 공영주차장(구): 48, 공유) 20-11(구): 50, 공유) 20-13(구): 76, 공유) 20-14(구): 88, 공유) 20-15(구): 159, 용답동(건물) 공영주차장(구): 200, 평화빌딩 주차장: 267, 공유) 20-34(구): 294, 공유) 20-26(구): 383, 공유) 20-23(구): 508"
공유) 20-33(구),"공유) 20-33(구): 50, 용답제2(평면) 공영주차장(구): 51, 공유) 20-14(구): 67, 공유) 20-11(구): 71, 공유) 20-13(구): 94, 공유) 20-15(구): 140, 용답동(건물) 공영주차장(구): 222, 공유) 20-34(구): 270, 평화빌딩 주차장: 290, 공유) 20-26(구): 381, 공유) 20-23(구): 503"
용답제2(평면) 공영주차장(구),"공유) 20-33(구): 25, 공유) 20-13(구): 60, 공유) 20-11(구): 88, 공유) 20-14(구): 112, 공유) 20-15(구): 187, 용답동(건물) 공영주차장(구): 224, 평화빌딩 주차장: 260, 공유) 20-34(구): 295, 공유) 20-26(구): 430"
공유) 20-14(구),"공유) 20-15(구): 75, 용답제2(평면) 공영주차장(구): 112, 공유) 20-33(구): 117, 공유) 20-11(구): 124, 공유) 20-13(구): 162, 공유) 20-34(구): 213, 용답동(건물) 공영주차장(구): 272, 공유) 20-26(구): 346, 평화빌딩 주차장: 356, 공유) 20-23(구): 547"
공유) 20-15(구),"공유) 20-14(구): 75, 공유) 20-34(구): 181, 공유) 20-11(구): 184, 용답제2(평면) 공영주차장(구): 187, 공유) 20-33(구): 191, 공유) 20-13(구): 235, 공유) 20-26(구): 298, 용답동(건물) 공영주차장(구): 319, 평화빌딩 주차장: 423, 공유) 20-23(구): 565"
공유) 20-34(구),"공유) 20-15(구): 181, 공유) 20-14(구): 213, 용답제2(평면) 공영주차장(구): 295, 공유) 20-33(구): 312, 공유) 20-11(구): 336, 공유) 20-13(구): 355, 공유) 20-26(구): 438, 용답동(건물) 공영주차장(구): 485, 평화빌딩 주차장: 556"
공유) 20-23(구),"공유) 05-09(구): 242, 용답동(건물) 공영주차장(구): 377, 공유) 20-26(구): 386, 공유) 04-55(구): 443, 공유) 05-08(구): 460, 공유) 20-11(구): 486, 공유) 04-50(구): 512, 공유) 20-21(구): 521, 공유) 05-10(구): 528, 공유) 20-13(구): 536, 공유) 20-15(구): 565, 공유) 20-14(구): 571, 공유) 04-18(구): 605, 공유) 04-17(구): 689"
공유) 20-26(구),"공유) 05-08(구): 289, 공유) 20-15(구): 298, 공유) 05-10(구): 334, 공유) 20-14(구): 346, 공유) 20-11(구): 364, 공유) 20-23(구): 386, 용답동(건물) 공영주차장(구): 393, 공유) 20-33(구): 417, 용답제2(평면) 공영주차장(구): 430, 공유) 20-34(구): 438, 공유) 20-13(구): 445, 평화빌딩 주차장: 559, 공유) 05-09(구): 560, 공유) 04-50(구): 743"
용답동(건물) 공영주차장(구),"공유) 20-11(구): 151, 평화빌딩 주차장: 169, 공유) 20-13(구): 179, 공유) 20-33(구): 199, 용답제2(평면) 공영주차장(구): 224, 공유) 20-14(구): 272, 공유) 20-15(구): 319, 공유) 20-23(구): 377, 공유) 20-26(구): 393, 공유) 20-34(구): 485, 공유) 05-08(구): 647"
공유) 05-08(구),"공유) 05-10(구): 68, 공유) 20-26(구): 289, 공유) 20-23(구): 460, 공유) 05-09(구): 504, 공유) 20-14(구): 515, 공유) 04-50(구): 643, 용답동(건물) 공영주차장(구): 647, 공유) 04-18(구): 691, 공유) 04-19(구): 733"
공유) 04-20(구),"공유) 04-49(구): 255, 공유) 04-22(구): 300, 공유) 04-14(구): 335, 공유) 04-19(구): 339, 왕십리 민자역사 비트플렉스몰 : 411, 공유) 04-55(구): 433, 공유) 06-22(구): 459, 공유) 05-05(구): 481, 공유) 05-09(구): 484, 공유) 04-15(구): 540, 공유) 04-18(구): 554, 공유) 04-50(구): 557, 공유) 05-04(구): 639, 공유) 04-12(구): 641, 공유) 04-17(구): 664"
공유) 04-22(구),"왕십리 민자역사 비트플렉스몰 : 182, 공유) 04-49(구): 190, 공유) 06-22(구): 232, 공유) 04-20(구): 300, 공유) 03-20(구): 305, 공유) 03-06(구): 398, 공유) 05-05(구): 406, 공유) 06-05(구): 475, 공유) 04-14(구): 490, 공유) 05-04(구): 492, 공유) 03-07(구): 511, 공유) 04-18(구): 522, 공유) 03-15(구): 552, 공유) 04-19(구): 564, 공유) 04-24(구): 581, 공유) 04-12(구): 587, 공유) 04-55(구): 610, 공유) 06-02(구): 618, 공유) 04-23(구): 690, 공유) 04-15(구): 693, 공유) 06-11(구): 718, 공유) 04-01(구): 778"
경진주차장,"공유) 02-08(구): 108, 공유) 06-05(구): 238, 공유) 03-07(구): 274, 공유) 02-07(구): 287, 공유) 03-20(구): 320, 도선동(지하) 공영주차장(구): 343, 공유) 03-06(구): 367, 공유) 06-11(구): 394, 공유) 02-10(구): 411, 공유) 03-14(구): 418, 왕십리 민자역사 비트플렉스몰 : 455, 공유) 02-06(구): 469, 공유) 03-15(구): 483, 하왕십리(건물) 공영주차장(구): 497, 공유) 06-22(구): 513, 공유) 06-02(구): 518, 공유) 05-04(구): 550, 공유) 04-24(구): 573, 공유) 03-10(구): 588, 공유) 03-01(구): 612, 공유) 04-12(구): 772"
공유) 02-08(구),"경진주차장: 65, 공유) 02-08(구): 123, 공유) 06-05(구): 178, 공유) 02-07(구): 266, 공유) 06-11(구): 332, 공유) 03-07(구): 334, 공유) 03-20(구): 351, 공유) 02-10(구): 383, 도선동(지하) 공영주차장(구): 408, 왕십리 민자역사 비트플렉스몰 : 431, 공유) 03-06(구): 433, 공유) 06-02(구): 454, 공유) 02-06(구): 457, 공유) 03-14(구): 483, 하왕십리(건물) 공영주차장(구): 488, 공유) 05-04(구): 495, 공유) 06-22(구): 538, 공유) 03-15(구): 540, 공유) 04-49(구): 583, 공유) 04-24(구): 628, 공유) 03-10(구): 636, 공유) 04-12(구): 755"
공유) 03-20(구),"공유) 06-22(구): 196, 공유) 03-07(구): 215, 공유) 03-15(구): 288, 공유) 04-22(구): 305, 경진주차장: 320, 왕십리 민자역사 비트플렉스몰 : 346, 공유) 04-24(구): 350, 도선동(지하) 공영주차장(구): 353, 공유) 03-06(구): 389, 공유) 04-49(구): 389, 공유) 06-05(구): 409, 공유) 03-14(구): 421, 공유) 02-08(구): 423, 공유) 03-01(구): 495, 공유) 03-10(구): 524, 공유) 04-23(구): 547, 공유) 04-12(구): 574, 마장동(건물) 공영주차장(구): 600, 공유) 02-07(구): 607, 공유) 05-04(구): 608, 공유) 05-05(구): 609, 공유) 04-01(구): 616, 공유) 04-02(구): 642, 청계8가(남) 공영주차장(시): 644, 공유) 06-11(구): 648"
공유) 06-05(구),"경진주차장: 238, 공유) 06-11(구): 248, 공유) 06-02(구): 285, 공유) 02-08(구): 290, 공유) 05-04(구): 317, 왕십리 민자역사 비트플렉스몰 : 327, 공유) 02-07(구): 359, 공유) 03-20(구): 409, 공유) 05-05(구): 436, 공유) 02-10(구): 443, 공유) 03-07(구): 473, 공유) 04-22(구): 475, 공유) 06-22(구): 559, 도선동(지하) 공영주차장(구): 570, 공유) 03-06(구): 598, 서울숲리버뷰자이아파트상가: 602, 공유) 03-14(구): 648, 공유) 04-49(구): 658"
왕십리 민자역사 비트플렉스몰 ,"공유) 04-22(구): 182, 공유) 05-05(구): 264, 공유) 05-04(구): 314, 공유) 06-05(구): 327, 공유) 03-20(구): 346, 공유) 04-49(구): 372, 공유) 06-22(구): 372, 공유) 04-55(구): 373, 공유) 04-20(구): 411, 공유) 02-08(구): 431, 공유) 06-02(구): 435, 공유) 03-06(구): 453, 경진주차장: 455, 공유) 03-07(구): 536, 공유) 06-11(구): 550, 서울숲더샵아파트 주차장: 582, 공유) 04-12(구): 613, 공유) 03-15(구): 632, 공유) 04-19(구): 660, 공유) 04-14(구): 662, 공유) 04-24(구): 683"
공유) 02-07(구),"공유) 02-10(구): 126, 공유) 02-08(구): 191, 공유) 02-06(구): 193, 하왕십리(건물) 공영주차장(구): 226, 경진주차장: 287, 공유) 06-11(구): 298, 공유) 06-05(구): 359, 공유) 03-07(구): 527, 공유) 06-02(구): 531, 도선동(지하) 공영주차장(구): 538, 공유) 03-06(구): 547, 공유) 03-14(구): 593, 공유) 03-20(구): 607"
공유) 동화동 07(003~012구간)(구),"동화동 공영주차장(구): 179, 신당사거리 공영주차장(구): 286, 신당동 공영주차장(구): 292, 신당역 공영주차장(구): 405, 청계천두산위브더제니스상: 472, 청구 공영주차장(구): 551, 황학어린이공원 지하주차장(구): 551, 로얄주차장(민영): 560, 약수빌딩 주차장: 682, 동대문 공영주차장(시): 699"
